,Unnamed: 0,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities,ExpectedRate
282,282,6th/a,3,0.0,17,4207700,OpenTable,4.04e-06,0.141490889,3.479783359
283,283,6th/a,4,0.25,37,7789649,OpenTable,4.75e-06,0.16634439,3.479783359
284,284,6th/a,5,0.5,87,8266564,OpenTable,1.05e-05,0.368568778,3.479783359
285,285,70th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.094220843,3.936084052
286,286,70th/a,2,-0.25,3,2507147,OpenTable,1.2e-06,0.078885506,3.936084052
287,287,70th/a,3,0.0,6,4207700,OpenTable,1.43e-06,0.094007443,3.936084052
288,288,70th/a,4,0.25,31,7789649,OpenTable,3.98e-06,0.262361172,3.936084052
289,289,70th/a,5,0.5,59,8266564,OpenTable,7.14e-06,0.470525036,3.936084052
290,290,75th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.6353568
291,291,75th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,4.6353568
292,292,75th/a,3,0.0,1,4207700,OpenTable,2.38e-07,0.042990307,4.6353568
293,293,75th/a,4,0.25,12,7789649,OpenTable,1.54e-06,0.278662591,4.6353568
294,294,75th/a,5,0.5,31,8266564,OpenTable,3.75e-06,0.678347103,4.6353568
295,295,7th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.083804794,3.850098711
296,296,7th/a,2,-0.25,5,2507147,OpenTable,1.99e-06,0.116941279,3.850098711
297,297,7th/a,3,0.0,8,4207700,OpenTable,1.9e-06,0.111486647,3.850098711
298,298,7th/a,4,0.25,32,7789649,OpenTable,4.11e-06,0.240884982,3.850098711
299,299,7th/a,5,0.5,63,8266564,OpenTable,7.62e-06,0.446882298,3.850098711
300,300,80th/a,1,-0.5,2,699695,OpenTable,2.86e-06,0.195553547,3.710590374
