Word,ExpectedRate,avg
brutally,1.936585476,1.936585476
bubbly,3.851544793,3.851544793
bucolic,3.644466467,3.644466467
buddy-buddy,2.955961795,2.955961795
budgetary,4.320261498,4.320261498
bugged,3,3
buggy,1.927544929,1.927544929
built-in,2.148137006,2.148137006
built-up,3,3
bulgarian,4.738693521,4.738693521
bulky,2.013254243,2.013254243
bulletproof,4,4
bullish,4,4
bullying,3,3
bumpy,3.125519392,3.125519392
buoyant,5,5
burdensome,2,2
burlesque,2.637880909,2.637880909
burly,3.674620964,3.674620964
burmese,4,4
burned,2.073708042,2.073708042
burnt,1.826140936,1.826140936
bush-league,2,2
bush,1,1
busily,2.054884447,2.054884447
businesslike,3.506721462,3.506721462
bustling,3.606589389,3.606589389
busy,2.902735608,2.902735608
but then,2.662351886,2.662351886
buttery,2.79714984,2.79714984
buttoned-up,4,4
by a long shot,3.13608227,3.13608227
by all means,3.08277117,3.08277117
by and large,3.258946438,3.258946438
by any means,2.734200706,2.734200706
by chance,3.227321695,3.227321695
by choice,2.447884566,2.447884566
by design,2.057368166,2.057368166
by far,3.444043684,3.444043684
by hand,2.78532215,2.78532215
by heart,4.021589451,4.021589451
by luck,2.519365394,2.519365394
by machine,3,3
by memory,3.350719146,3.350719146
by nature,3.212649741,3.212649741
by no means,3.003658107,3.003658107
by the day,4.653333396,4.653333396
by the piece,2,2
by the way,2.503951664,2.503951664
by word of mouth,4.790322626,4.790322626
bygone,3.483007433,3.483007433
byzantine,5,5
cacophonous,1.884498692,1.884498692
calculated,2.37337366,2.37337366
californian,4.485148584,4.485148584
callous,1.247261155,1.247261155
calm,3.888954353,3.888954353
calmly,2.384609673,2.384609673
caloric,3.531575309,3.531575309
cambodian,3.943614073,3.943614073
campy,3.313273093,3.313273093
can-do,2.955961795,2.955961795
canadian,3.636268816,3.636268816
canary,5,5
candid,3.40242712,3.40242712
candidly,1.926286951,1.926286951
candied,3.456173046,3.456173046
canine,3.405740792,3.405740792
canned,1.931899566,1.931899566
canopied,3.350719146,3.350719146
cantankerous,5,5
capable,3.142034586,3.142034586
capably,4.005811048,4.005811048
capacious,3,3
captivated,2.955961795,2.955961795
captivating,5,5
captivatingly,5,5
captive,2.379090254,2.379090254
caramel brown,4.485148584,4.485148584
caramel,2.032522287,2.032522287
carbonated,3.098428164,3.098428164
cardiac,3.674620964,3.674620964
cardinal,2.842313662,2.842313662
cared-for,3.760391657,3.760391657
carefree,2.581335851,2.581335851
